,num_matches,ratio,ratio_2016-2019,num_matches_2020-2021,ratio_2020-2021,birth,ht,minutes,perc_ace,_1stwon_1stIn,perc_df,perc_2ndwon,perc_v_ace,perc_v_df,perc_v_1stwon,rank,hand_num,gender_num,ioc_num
1891,274,52.18978102189781,54.87804878048781,28.0,28.57142857142857,1988.0,180.0,98.11493087065604,8.6,69.29591750825303,6.87,50.24,13.67,6.55,69.78,160.0,1,1,43
1892,338,57.396449704142015,58.67158671586717,67.0,52.23880597014925,1997.0,193.0,99.93363402061856,19.19,75.38915571566956,5.49,51.02,13.99,7.2,72.71,71.0,1,1,90
1893,201,63.681592039801,64.92146596858639,10.0,40.0,1996.0,173.1818181818182,76.33647260273972,4.54,59.35940616287556,4.28,44.21,3.64,7.31,54.25,140.0,0,0,90
1894,136,47.05882352941176,46.92307692307692,6.0,50.0,1988.0,172.13786827469158,70.95572916666666,1.31,60.25168643274452,4.77,36.68,3.63,6.95,48.78,345.0,1,0,12
1895,22,36.36363636363637,36.36363636363637,0.0,0.0,1995.0,192.0,86.79464285714286,16.63,72.1291866028708,7.3,43.46,13.43,8.71,74.38,483.0,1,1,91
1896,255,50.98039215686274,55.60747663551402,41.0,26.82926829268293,1995.0,180.0,64.37338461538462,4.39,52.18567684112624,8.72,46.7,2.68,6.31,42.71,302.0,2,0,18
1897,271,52.02952029520295,55.00000000000001,51.0,39.21568627450981,1991.0,188.0,102.50842880523732,16.33,73.04876148932856,5.17,49.82,9.81,5.81,71.63,111.0,1,1,90
1898,321,54.82866043613706,52.118644067796616,85.0,62.35294117647059,1994.0,175.78571428571428,85.31161833855799,2.58,60.16958462242271,4.56,43.13,4.85,8.5,59.52,151.0,1,0,20
1899,235,53.61702127659574,56.58536585365853,30.0,33.33333333333333,1998.0,172.5,60.04128440366972,2.1,14.688612956011166,4.19,15.12,1.94,4.17,28.22,466.0,1,0,81
1900,288,55.55555555555556,55.76036866359447,71.0,54.929577464788736,1990.0,180.0,69.95625,0.08,53.52494935468256,9.49,36.43,2.37,6.74,48.46,243.0,1,0,18
1901,245,57.95918367346938,56.00000000000001,45.0,66.66666666666666,1994.0,175.78571428571428,70.30756871325038,11.59,60.615788610400266,8.43,50.96,3.48,6.84,48.42,221.0,1,0,20
1902,260,51.92307692307693,54.22885572139303,59.0,44.06779661016949,1995.0,171.33333333333334,60.168,3.19,19.212369724927388,2.22,15.59,1.92,4.17,26.59,538.0,1,0,80
1903,292,56.16438356164384,56.95067264573991,69.0,53.62318840579711,1998.0,173.36363636363637,63.37661966463415,0.05,61.842149330254216,4.71,49.8,3.13,6.92,43.72,289.0,1,0,29
1904,265,43.39622641509434,46.26865671641791,64.0,34.375,1985.0,188.0,95.7827536231884,9.26,71.00391598433606,10.85,46.75,13.39,6.65,69.02,243.0,1,1,73
1905,153,51.63398692810458,53.63636363636364,43.0,46.51162790697674,1995.0,187.53125,101.5035066712282,14.38,71.90552558682025,7.39,49.11,12.69,7.75,70.64,324.0,1,1,90
1906,121,59.50413223140496,60.0,36.0,58.333333333333336,1996.0,187.07692307692307,107.54747732426304,20.29,75.94670300487573,6.79,50.93,12.18,6.61,71.42,233.0,1,1,3
1907,23,39.130434782608695,39.130434782608695,0.0,0.0,1994.0,172.13786827469158,76.42063492063492,0.75,52.13675213675214,11.65,42.18,1.68,8.79,28.04,,2,0,52
1908,53,60.37735849056604,25.0,49.0,63.26530612244898,2001.0,184.5,99.24479166666666,5.77,68.35599505562423,4.24,51.65,5.39,6.08,66.33,424.0,1,1,2
1909,375,55.46666666666666,56.22895622895623,78.0,52.56410256410257,1994.0,183.0,108.99821510824503,9.16,71.23493169032949,4.53,52.07,11.25,6.07,70.49,123.0,0,1,12
1910,137,47.44525547445255,51.35135135135135,63.0,42.85714285714285,2000.0,184.53846153846155,105.67190170940172,10.33,69.54452753229096,7.14,50.99,7.54,6.43,68.88,267.0,1,1,12
1911,106,42.45283018867924,42.45283018867924,0.0,0.0,1988.0,193.0,97.59489981785065,15.21,71.87817258883248,3.59,48.33,10.93,6.48,71.71,228.0,1,1,58
1912,297,50.84175084175085,53.100775193798455,39.0,35.8974358974359,1989.0,185.7058823529412,100.4843735825093,3.84,66.33110610020306,5.37,51.04,13.75,6.66,69.08,120.0,1,1,42
1913,47,42.5531914893617,46.51162790697674,4.0,0.0,1995.0,187.07692307692307,84.73611111111111,20.42,74.97354497354497,11.16,46.77,10.03,6.32,72.33,629.0,1,1,3
1914,232,47.8448275862069,48.98989898989899,34.0,41.17647058823529,1988.0,188.0,103.47178169905442,9.06,67.78951564680088,8.16,50.73,8.72,7.2,67.71,176.0,0,1,12
1915,75,33.33333333333333,33.33333333333333,0.0,0.0,1983.0,183.0,94.15,4.87,63.23426223803517,4.27,46.26,17.39,6.55,70.03,275.0,1,1,84
1916,23,34.78260869565217,30.0,13.0,38.46153846153847,1998.0,179.8,102.0375,2.98,62.08476517754868,6.07,46.83,6.16,5.85,65.3,624.0,1,1,69
1917,13,53.84615384615385,53.84615384615385,0.0,0.0,1987.0,184.53846153846155,88.17857142857143,5.67,69.18714555765595,10.02,48.34,7.17,14.75,68.44,953.0,1,1,12
1918,25,8.0,8.0,0.0,0.0,1991.0,183.3333333333333,83.63043478260869,6.51,63.31333567754026,8.78,43.47,9.81,8.99,75.83,803.0,2,1,54
1919,76,56.57894736842105,56.75675675675676,2.0,50.0,1988.0,187.44,96.5214940098661,17.85,74.506683640993,9.64,52.18,12.37,8.57,69.99,439.0,1,1,32
1920,209,52.15311004784689,52.15311004784689,0.0,0.0,1988.0,175.0,90.72160550458716,11.45,69.78045630650021,5.0,50.53,10.1,7.49,70.18,153.0,1,1,90
