,name,num_matches,ratio,ratio_2016-2019,num_matches_2020-2021,ratio_2020-2021,hand,gender,ioc,birth,ht,minutes,perc_ace,_1stwon_1stIn,perc_df,perc_2ndwon,perc_v_ace,perc_v_df,perc_v_1stwon
3159,RYAN PENISTON,56,48.214285714285715,36.84210526315789,37.0,54.054054054054056,U,M,GBR,1995.0,183.42857142857144,99.28671775223499,6.19,67.95427670476941,7.92,47.17,8.82,7.68,67.6
3160,RYAN SHANE,73,42.465753424657535,43.66197183098591,2.0,0.0,U,M,USA,1994.0,187.53125,88.3083717357911,19.69,75.84327086882453,19.93,42.97,9.02,6.53,70.33
3161,RYOTA TANUMA,20,35.0,35.294117647058826,3.0,33.33333333333333,U,M,JPN,1995.0,176.28571428571428,91.76373626373626,7.09,64.41441441441441,4.62,50.54,13.32,5.37,72.2
3162,SAARA ORAV,29,37.93103448275862,37.5,21.0,38.095238095238095,U,F,EST,2002.0,177.5,61.9040404040404,3.2,46.35708566853482,12.49,31.81,0.08,0.49,5.0
3165,SABINA SHARIPOVA,280,59.64285714285714,60.59322033898306,44.0,54.54545454545454,R,F,UZB,1994.0,172.13786827469158,69.37213184250967,1.48,53.25565455791638,11.89,49.34,2.55,6.53,41.71
3168,SABINE LISICKI,107,42.05607476635514,40.5940594059406,6.0,66.66666666666666,R,F,GER,1989.0,178.0,89.37849462365591,13.51,66.262024736601,14.66,44.41,4.66,8.65,64.88
3172,SABRINA SANTAMARIA,84,50.0,50.0,0.0,0.0,R,F,USA,1993.0,173.1818181818182,64.8452380952381,0.03,54.416364162510355,8.86,46.12,3.0,4.98,36.56
3173,SACHIA VICKERY,271,52.767527675276746,52.863436123348016,44.0,52.27272727272727,R,F,USA,1995.0,173.1818181818182,76.13253933566433,2.82,56.27851952002704,6.75,45.1,4.27,7.53,56.39
3174,SADA NAHIMANA,89,66.29213483146067,70.27027027027027,52.0,63.46153846153846,R,F,BDI,2001.0,172.13786827469158,60.6,0.86,22.247575584711925,0.86,17.96,2.09,4.68,31.11
3176,SADIO DOUMBIA,161,45.3416149068323,47.5177304964539,20.0,30.0,U,M,FRA,1990.0,186.96153846153845,92.71863325031133,7.06,66.57567899549612,8.65,47.93,10.05,6.4,67.92
3180,SAISAI ZHENG,256,56.640625,58.108108108108105,34.0,47.05882352941176,R,F,CHN,1994.0,170.0,94.44386455420938,2.43,57.33459698166165,4.59,44.66,2.94,8.12,56.09
3181,SAKETH MYNENI,129,56.58914728682171,56.8,4.0,50.0,R,M,IND,1987.0,183.8,82.61203522504893,16.99,71.25865435824605,5.82,49.14,8.83,7.6,69.69
3187,SALMA DJOUBRI,130,50.0,41.53846153846154,65.0,58.46153846153847,U,F,FRA,2003.0,173.36363636363637,60.215384615384615,0.02,26.302029228072342,2.53,14.04,2.61,4.23,27.71
3191,SALVATORE CARUSO,327,50.764525993883794,52.71317829457365,69.0,43.47826086956522,R,M,ITA,1992.0,185.0,102.87123026266556,6.69,67.37608318890814,5.43,50.58,12.35,6.88,68.75
3192,SAM BARRY,55,40.0,40.0,0.0,0.0,R,M,IRL,1992.0,185.6747825006256,99.37121212121212,12.43,70.42755344418052,4.79,50.13,14.11,6.42,70.85
3193,SAM GROTH,101,42.57425742574257,42.57425742574257,0.0,0.0,R,M,AUS,1987.0,187.07692307692307,90.53909382518043,30.53,78.71606074551312,13.05,49.87,12.36,6.56,74.4
3194,SAM QUERREY,232,54.741379310344826,57.286432160804026,33.0,39.39393939393939,R,M,USA,1987.0,198.0,100.0442819647544,30.22,80.70666049965074,7.57,50.24,15.22,6.22,74.22
3195,SAM RIFFICE,21,42.857142857142854,35.714285714285715,7.0,57.14285714285714,U,M,USA,1999.0,187.53125,98.625,10.43,68.44720496894409,5.96,46.86,15.97,7.87,68.63
3196,SAMANTHA CRAWFORD,65,44.61538461538462,44.61538461538462,0.0,0.0,R,F,USA,1995.0,173.1818181818182,77.227969348659,10.11,60.021590500179926,11.69,42.02,3.81,8.55,60.74
3199,SAMANTHA MURRAY,163,57.05521472392638,60.76923076923077,33.0,42.42424242424242,R,F,GBR,1987.0,177.71428571428572,63.53294930875576,6.17,58.73184823366686,16.53,53.36,2.91,6.45,43.15
3200,SAMANTHA STOSUR,208,47.11538461538461,49.740932642487046,15.0,13.333333333333334,R,F,AUS,1984.0,172.0,95.71298701298701,9.2,65.60417592181253,9.18,45.36,7.44,8.17,65.61
3201,SAMI REINWEIN,16,37.5,37.5,0.0,0.0,U,M,GER,1992.0,187.44,84.53333333333333,16.83,72.81553398058253,10.03,46.32,11.94,10.08,74.26
3202,SAMUEL MONETTE,26,42.30769230769231,42.30769230769231,0.0,0.0,L,M,CAN,1994.0,188.57142857142856,79.0909090909091,6.04,64.56483126110125,8.35,50.16,11.06,7.21,68.31
3203,SANAM SINGH,18,33.33333333333333,33.33333333333333,0.0,0.0,R,M,IND,1988.0,183.8,82.04166666666666,9.7,69.19831223628692,8.44,49.79,9.77,8.48,69.54
3204,SANAZ MARAND,123,47.96747967479675,47.96747967479675,0.0,0.0,L,F,USA,1988.0,173.1818181818182,63.35924258474576,2.19,61.563344371011816,4.49,44.72,3.52,5.61,40.49
3205,SANDER ARENDS,11,27.27272727272727,22.22222222222222,2.0,50.0,U,M,NED,1991.0,190.25,77.10416666666666,9.02,67.21311475409836,13.93,41.21,4.46,5.07,69.57
3206,SANDER GILLE,17,41.17647058823529,41.17647058823529,0.0,0.0,R,M,BEL,1991.0,173.66666666666666,81.72142857142856,18.81,74.45141065830721,4.86,50.85,7.36,5.69,73.33
3207,SANDRA BOZINOVIC,12,8.333333333333332,8.333333333333332,0.0,0.0,U,F,FRA,1999.0,173.36363636363637,59.90909090909091,4.42,37.26315789473684,22.95,18.59,1.03,2.05,18.54
3210,SANDRA SAMIR,374,66.0427807486631,65.17241379310344,84.0,69.04761904761905,R,F,EGY,1997.0,180.0,61.420319423634794,1.57,51.63792589056626,5.29,44.51,1.24,3.83,23.26
3211,SANDRA ZANIEWSKA,39,69.23076923076923,69.23076923076923,0.0,0.0,R,F,POL,1992.0,173.5,63.416666666666664,0.0,16.33408746369925,2.33,11.31,1.92,3.94,28.26
3212,SANDRO EHRAT,44,40.909090909090914,39.285714285714285,16.0,43.75,R,M,SUI,1991.0,180.0,101.32478632478632,11.19,72.89769683985003,3.75,49.59,7.45,7.25,70.07
3214,SANG HEE PARK,47,53.191489361702125,53.191489361702125,0.0,0.0,U,F,KOR,1995.0,172.13786827469158,61.407272727272726,2.86,64.16379408894541,3.95,31.9,0.54,2.42,22.53
3215,SANJAR FAYZIEV,59,28.8135593220339,28.30188679245283,6.0,33.33333333333333,U,M,UZB,1994.0,192.0,100.30182072829132,11.72,68.62068965517241,6.59,46.77,12.69,6.91,73.18
3216,SANTIAGO GIRALDO,188,52.659574468085104,53.03867403314917,7.0,42.857142857142854,R,M,COL,1988.0,188.0,102.28901373283395,8.02,70.36571428571429,4.42,51.11,13.52,7.44,70.56
3223,SARA ERRANI,257,52.918287937743195,53.92670157068062,66.0,50.0,R,F,ITA,1987.0,164.0,95.4984200291687,0.15,56.49115630342888,5.66,34.92,5.55,8.68,56.01
3230,SARA SORRIBES TORMO,339,57.227138643067846,55.68181818181818,75.0,62.66666666666667,R,F,ESP,1996.0,176.0,92.13345183078565,0.59,54.94058103677257,12.07,37.58,2.6,7.12,53.9
3232,SARA TOMIC,91,47.25274725274725,44.70588235294118,6.0,83.33333333333334,R,F,AUS,1998.0,170.85714285714286,62.7250484496124,9.06,55.756965166868945,5.75,40.91,2.97,6.13,37.13
3233,SARAH BETH ASKEW,148,43.91891891891892,42.3728813559322,30.0,50.0,L,F,GBR,1995.0,177.71428571428572,61.48841519925857,2.31,59.70493144893367,13.99,35.74,2.51,4.55,30.9
3238,SARAH PANG,42,11.904761904761903,10.81081081081081,5.0,20.0,U,F,SIN,1985.0,172.13786827469158,62.145945945945954,0.28,29.2436974789916,7.62,21.68,0.87,3.53,17.92
3239,SARAH REBECCA SEKULIC,188,56.91489361702128,60.0,13.0,15.384615384615385,L,F,GER,1992.0,176.5,60.81031498788508,4.15,57.37210146117727,10.86,41.29,2.22,5.61,34.15
3242,SARP AGABIGUN,17,11.76470588235294,13.333333333333334,2.0,0.0,R,M,TUR,1997.0,190.0,72.8,6.72,63.04,8.32,36.44,12.56,10.68,70.49
3246,SASI KUMAR MUKUND,160,43.125,44.3609022556391,27.0,37.03703703703704,R,M,IND,1997.0,183.8,85.28627169931518,14.19,70.08314949940608,6.08,51.33,13.02,6.47,70.88
3252,SCHENA BENAMAR,40,42.5,36.36363636363637,7.0,71.42857142857143,U,F,FRA,1999.0,173.36363636363637,60.19565217391305,0.0,28.848346636259976,13.11,24.16,0.68,1.1,7.63
3253,SCOTT GRIEKSPOOR,80,45.0,45.0,0.0,0.0,R,M,NED,1991.0,190.25,97.37752525252526,11.63,69.35569755058573,8.52,49.94,13.56,7.61,72.11
3254,SCOTT PUODZIUNAS,23,43.47826086956522,43.47826086956522,0.0,0.0,U,M,AUS,1990.0,187.07692307692307,80.77307692307693,8.44,66.92836113837095,5.3,48.15,6.53,8.56,69.37
3255,SE HYUN KIM,35,45.714285714285715,45.714285714285715,0.0,0.0,U,F,KOR,1995.0,172.13786827469158,60.184210526315795,0.0,25.333333333333336,1.15,14.38,2.11,3.19,24.36
3258,SEBASTIAN BAEZ,53,67.9245283018868,40.0,48.0,70.83333333333334,R,M,ARG,2001.0,184.5,105.69607843137254,2.65,63.12393887945671,2.75,50.9,4.34,5.47,61.06
3259,SEBASTIAN FANSELOW,105,51.42857142857142,52.63157894736842,10.0,40.0,U,M,GER,1992.0,187.44,95.72276688453158,7.63,69.16573971078977,10.83,46.19,9.46,7.9,67.03
3260,SEBASTIAN KORDA,135,57.77777777777777,45.90163934426229,74.0,67.56756756756756,R,M,USA,2000.0,196.0,98.85695006747639,9.64,69.58553370799282,5.83,49.68,9.07,7.59,69.27
3261,SEBASTIAN OFNER,262,49.61832061068702,50.0,74.0,48.64864864864865,R,M,AUT,1996.0,185.2,89.06515151515151,16.21,72.72302662307332,8.4,49.73,10.76,6.94,71.0
3264,SEKOU BANGOURA,166,45.18072289156627,45.33333333333333,16.0,43.75,R,M,USA,1992.0,187.53125,95.58373626373626,8.24,68.2884331859,5.95,50.87,11.03,8.01,69.93
3265,SELENA JANICIJEVIC,67,55.223880597014926,42.857142857142854,53.0,58.490566037735846,U,F,FRA,2002.0,173.36363636363637,61.03333333333333,0.04,31.37852246763138,4.65,12.86,1.86,3.5,26.57
3271,SEM VERBEEK,50,44.0,42.857142857142854,8.0,50.0,L,M,NED,1994.0,190.25,92.85551948051948,9.4,68.98854961832062,7.11,47.13,7.5,8.58,70.08
3276,SEONE MENDEZ,221,61.990950226244344,64.28571428571429,53.0,54.71698113207547,U,F,AUS,1999.0,170.85714285714286,61.09558567952729,0.06,41.768883150419626,5.09,49.23,2.27,5.6,34.17
3277,SEONG CHAN HONG,24,20.833333333333336,20.833333333333336,0.0,0.0,R,M,KOR,1997.0,185.0,129.66842105263157,7.04,65.35626535626535,6.39,48.19,7.38,7.12,68.73
3278,SERENA WILLIAMS,152,77.63157894736842,80.18018018018019,41.0,70.73170731707317,R,F,USA,1981.0,175.0,85.58773678963111,19.08,73.78034595307565,8.14,48.75,7.01,8.94,61.73
3279,SERGEY BETOV,68,51.470588235294116,51.470588235294116,0.0,0.0,R,M,BLR,1987.0,194.5,83.1082251082251,12.97,71.09466303077522,7.28,46.15,10.59,7.91,69.4
3280,SERGEY FOMIN,25,28.000000000000004,33.33333333333333,4.0,0.0,R,M,UZB,2001.0,192.0,77.9047619047619,7.45,64.21825813221406,7.97,47.32,13.09,7.08,69.7
3281,SERGIO GALDOS,19,31.57894736842105,27.27272727272727,8.0,37.5,R,M,PER,1990.0,185.6747825006256,76.27564102564102,6.09,63.3112582781457,7.28,43.97,8.43,7.56,67.88
3282,SERGIO GUTIERREZ FERROL,50,46.0,46.0,0.0,0.0,R,M,ESP,1989.0,182.65217391304347,84.52576489533011,8.19,66.15147906182337,7.67,46.42,4.06,5.05,65.38
3283,SERGIO MARTOS GORNES,16,6.25,8.333333333333332,4.0,0.0,U,M,ESP,1994.0,182.65217391304347,72.03333333333333,7.99,59.42622950819673,17.62,39.76,8.01,4.92,70.31
3284,SERGIY STAKHOVSKY,342,52.046783625730995,52.63157894736842,57.0,49.122807017543856,R,M,UKR,1986.0,193.0,96.51209235406961,16.85,74.19360150703173,5.96,50.2,9.9,6.11,71.49
3285,SESIL KARATANTCHEVA,165,49.09090909090909,49.09090909090909,0.0,0.0,R,F,KAZ,1989.0,171.0,70.74691358024691,1.37,55.39780337530137,11.61,40.54,3.71,7.34,54.26
3286,SEUNG YEON HONG,59,62.71186440677966,62.71186440677966,0.0,0.0,U,F,KOR,1992.0,172.13786827469158,61.37039312039312,1.29,61.846065034584676,2.58,50.27,1.05,3.04,23.35
3287,SEVIL YULDASHEVA,32,25.0,20.833333333333336,8.0,37.5,U,F,UZB,2002.0,172.13786827469158,59.64583333333333,0.0,18.461538461538463,3.36,18.53,1.31,4.01,22.92
3294,SHALVA DZHANASHIA,33,36.36363636363637,36.36363636363637,0.0,0.0,L,M,RUS,1992.0,187.26666666666668,92.58928571428572,3.21,60.22280471821756,10.42,44.57,14.41,8.55,68.57
3296,SHANSHAN GUO,100,51.0,51.0,0.0,0.0,U,F,CHN,1996.0,174.8,60.8469387755102,2.18,27.055604247526126,4.47,23.52,2.3,5.3,30.0
3298,SHAROBIDDIN ABZALOV,18,16.666666666666664,16.666666666666664,0.0,0.0,U,M,UZB,1998.0,192.0,80.46666666666667,10.69,65.46242774566474,16.33,40.37,8.61,8.46,72.74
3302,SHELBY ROGERS,202,53.46534653465347,50.76923076923077,72.0,58.333333333333336,R,F,USA,1992.0,175.0,93.92494089834516,8.58,64.22741657875743,5.93,51.27,7.32,8.71,63.38
3304,SHELLY BEREZNYAK,82,45.1219512195122,42.10526315789473,25.0,52.0,U,F,ISR,2000.0,170.0,60.36486486486486,0.0,24.222585924713584,0.03,11.13,0.63,1.67,8.94
3306,SHENG HAO ZHOU,11,27.27272727272727,27.27272727272727,0.0,0.0,U,M,CHN,1996.0,183.66666666666663,79.6875,2.32,58.10526315789474,4.0,48.54,12.2,3.17,70.0
3307,SHERAZAD REIX,166,49.39759036144578,49.39759036144578,0.0,0.0,L,F,FRA,1989.0,173.36363636363637,62.44018583042973,4.2,49.70938549423351,8.46,42.48,3.16,6.78,44.27
3308,SHIHO AKITA,186,52.1505376344086,48.61111111111111,42.0,64.28571428571429,R,F,JPN,1990.0,163.83333333333334,61.252808988764045,2.3,55.87296842510183,12.26,53.37,2.31,6.02,40.57
3310,SHILIN XU,179,47.486033519553075,48.148148148148145,17.0,41.17647058823529,R,F,CHN,1998.0,174.8,66.02565707133917,3.49,49.16826093657426,6.69,43.49,3.72,6.97,49.07
3311,SHINJI HAZAWA,14,42.857142857142854,42.857142857142854,0.0,0.0,R,M,JPN,1999.0,176.28571428571428,93.85416666666666,8.55,65.6298600311042,5.29,51.66,9.52,6.68,67.11
3312,SHINTARO IMAI,48,41.66666666666667,40.909090909090914,4.0,50.0,U,M,JPN,1993.0,176.28571428571428,90.075,12.25,70.82630691399663,8.6,46.09,8.84,6.54,67.73
3313,SHINTARO MOCHIZUKI,14,42.857142857142854,0.0,14.0,42.857142857142854,R,M,JPN,2003.0,176.28571428571428,93.52083333333334,2.71,61.42131979695431,12.69,40.45,8.24,5.17,63.0
3318,SHO SHIMABUKURO,21,52.38095238095239,55.55555555555556,3.0,33.33333333333333,U,M,JPN,1997.0,176.28571428571428,100.06818181818181,11.75,70.06651884700665,8.43,50.0,10.39,6.47,69.12
3323,SHU YING HSIEH,16,6.25,6.666666666666667,1.0,0.0,R,F,TPE,1993.0,168.0,59.86666666666667,0.17,22.68211920529801,9.77,36.69,1.06,4.09,29.39
3324,SHUAI PENG,180,58.88888888888889,59.77011494252874,6.0,33.33333333333333,R,F,CHN,1986.0,173.0,90.09561448240694,3.99,59.11614993058769,3.91,47.19,5.62,7.88,60.09
3325,SHUAI ZHANG,307,57.65472312703584,58.94308943089431,61.0,52.459016393442624,R,F,CHN,1989.0,177.0,88.3706866579748,4.59,62.2194604868777,5.72,46.18,5.59,8.48,61.14
3326,SHUICHI SEKIGUCHI,148,49.32432432432432,52.23880597014925,14.0,21.428571428571427,R,M,JPN,1991.0,176.28571428571428,85.61269406392694,7.54,67.32444444444444,5.44,50.48,12.62,7.12,69.42
3327,SHUKO AOYAMA,91,42.857142857142854,43.333333333333336,1.0,0.0,R,F,JPN,1988.0,163.83333333333334,80.63461538461539,0.22,50.33024994287375,8.9,35.72,3.0,7.47,50.89
3328,SHUO FENG,84,42.857142857142854,43.75,4.0,25.0,U,F,CHN,1998.0,174.8,60.38194444444444,3.16,51.557246483094644,4.74,40.28,2.22,4.7,31.06
3329,SHUYUE MA,135,45.925925925925924,48.333333333333336,15.0,26.666666666666668,R,F,CHN,1999.0,174.8,63.53524083075563,5.43,48.695511262356185,6.6,53.94,3.21,5.55,40.7
3332,SIDHARTH RAWAT,94,47.87234042553192,46.51162790697674,8.0,62.5,U,M,IND,1993.0,183.8,90.72562358276645,9.91,67.9078489150817,3.88,51.34,8.41,8.61,67.85
3334,SIJIA WEI,12,33.33333333333333,33.33333333333333,0.0,0.0,U,F,CHN,2004.0,174.8,61.0,2.97,20.817843866171003,7.43,32.0,3.56,5.87,43.77
3338,SILVIA SOLER ESPINOSA,188,49.46808510638298,49.46808510638298,0.0,0.0,R,F,ESP,1987.0,172.25,75.58273910582909,1.69,56.545965345582125,4.99,41.09,4.83,7.41,57.67
3339,SIMON CARR,14,14.285714285714285,10.0,4.0,25.0,R,M,IRL,1999.0,185.6747825006256,93.66666666666666,6.08,62.83783783783784,7.6,45.0,8.66,7.09,71.34
3340,SIMONA HALEP,293,74.06143344709898,73.68421052631578,46.0,76.08695652173914,R,F,ROU,1991.0,168.0,89.32067062818336,4.2,64.03350818131997,5.47,47.88,4.45,7.11,58.31
3344,SIMONA WALTERT,188,64.36170212765957,65.38461538461539,58.0,62.06896551724138,R,F,SUI,2000.0,171.33333333333334,62.1112618724559,0.94,68.0048076923077,12.73,48.41,2.92,6.17,40.21
3345,SIMONE BOLELLI,132,56.81818181818182,56.81818181818182,0.0,0.0,R,M,ITA,1985.0,183.0,100.89754385964912,4.29,68.22689225256127,1.96,53.58,12.54,7.0,70.98
3347,SINA HERRMANN,104,54.807692307692314,46.875,72.0,58.333333333333336,R,F,GER,2001.0,176.5,60.13829787234043,1.17,18.692518021377083,5.84,8.92,1.41,4.54,27.69
3350,SINJA KRAUS,115,56.52173913043478,54.0,65.0,58.46153846153847,U,F,AUT,2002.0,165.0,60.04,0.0,26.052104208416832,2.0,21.02,1.12,3.6,21.07
3352,SKANDER MANSOURI,58,41.37931034482759,40.0,23.0,43.47826086956522,R,M,TUN,1995.0,185.0,96.12745098039215,15.74,71.77326694752968,12.64,46.12,6.32,7.84,70.64
3353,SLOANE STEPHENS,202,58.415841584158414,62.82051282051282,46.0,43.47826086956522,R,F,USA,1993.0,170.0,98.41424535916062,2.67,60.78016328999093,3.55,47.94,5.0,7.9,61.74
3358,SO RA LEE,130,56.92307692307692,54.807692307692314,26.0,65.38461538461539,L,F,KOR,1994.0,172.13786827469158,60.839285714285715,0.03,17.255434782608695,3.75,25.4,1.27,3.56,25.55
3363,SOFIA KENIN,302,63.576158940397356,63.306451612903224,54.0,64.81481481481481,R,F,USA,1998.0,170.0,86.70880681818181,3.61,64.03836995713993,7.72,44.62,9.56,8.36,58.75
3367,SOFIA MUNERA SANCHEZ,12,25.0,25.0,0.0,0.0,U,F,COL,1999.0,162.0,60.22222222222222,4.2,25.174825174825177,12.59,29.43,0.93,4.3,24.3
3371,SOFIA SHAPATAVA,276,45.289855072463766,45.32710280373832,62.0,45.16129032258064,R,F,GEO,1989.0,171.0,63.55107284768212,4.38,58.624167427582705,4.82,46.37,3.04,5.48,38.83
3380,SOFYA LANSERE,130,47.69230769230769,50.57471264367817,43.0,41.86046511627907,U,F,RUS,2000.0,165.3125,61.25332068311195,3.58,49.14910769940564,22.4,49.98,2.63,7.17,40.95
3381,SOFYA ZHUK,159,63.52201257861635,63.52201257861635,0.0,0.0,R,F,RUS,1999.0,165.3125,72.63144417890065,0.59,60.23235879587774,9.1,43.75,2.75,7.01,46.92
3383,SOHYUN PARK,124,63.70967741935484,58.69565217391305,78.0,66.66666666666666,U,F,KOR,2002.0,172.13786827469158,60.41940928270043,5.52,55.43159130945391,7.28,49.64,1.42,4.39,27.11
3391,SOON WOO KWON,262,59.541984732824424,61.46341463414634,57.0,52.63157894736842,R,M,KOR,1998.0,180.0,101.18081761006289,10.33,70.11312812417785,7.46,52.71,13.28,6.54,68.25
3396,SOPHIA WHITTLE,60,56.666666666666664,58.333333333333336,24.0,54.166666666666664,U,F,USA,1997.0,173.1818181818182,61.74547511312217,5.41,71.35655362053163,4.45,49.66,2.64,5.19,43.53
3398,SOPHIE CHANG,192,48.95833333333333,50.0,32.0,43.75,U,F,USA,1997.0,173.1818181818182,63.64459400781589,6.75,56.70247547874825,13.66,53.69,3.37,6.09,45.2
3404,SORA FUKUDA,13,38.46153846153847,38.46153846153847,0.0,0.0,L,M,JPN,1997.0,176.28571428571428,83.1875,3.58,62.432915921288014,4.29,47.4,23.17,4.18,76.41
3405,SORANA CIRSTEA,270,55.925925925925924,54.761904761904766,60.0,60.0,R,F,ROU,1990.0,176.0,91.12691301686237,4.87,59.91256095510341,6.15,46.56,3.91,8.36,60.36
3407,SOWJANYA BAVISETTI,121,42.14876033057851,42.201834862385326,12.0,41.66666666666667,L,F,IND,1993.0,172.13786827469158,60.05,1.3,15.651201788708777,1.3,14.17,0.89,2.82,17.77
3411,STAN WAWRINKA,226,65.04424778761062,64.8936170212766,38.0,65.78947368421053,R,M,SUI,1985.0,183.0,116.51063463360028,15.68,74.65942403862735,4.36,55.27,9.8,5.76,71.18
3413,STEFAN KOZLOV,228,52.19298245614035,50.256410256410255,33.0,63.63636363636363,R,M,USA,1998.0,187.53125,96.51329889754066,7.11,66.01245119763638,9.89,47.87,9.31,7.1,66.67
3417,STEFANIA RUBINI,204,54.90196078431373,57.831325301204814,38.0,42.10526315789473,U,F,ITA,1992.0,166.83333333333334,60.22826086956522,5.12,31.526062515129226,3.07,25.87,2.29,4.73,34.37
3419,STEFANIE TAN,62,54.83870967741935,54.83870967741935,0.0,0.0,R,F,SIN,1992.0,172.13786827469158,64.91281512605042,1.05,56.69713887957318,3.15,33.42,1.66,5.06,26.27
3420,STEFANIE VOEGELE,271,51.291512915129154,52.293577981651374,53.0,47.16981132075472,R,F,SUI,1990.0,170.0,85.94786897754523,7.23,59.67971976296192,5.06,46.61,4.62,7.63,57.62
3421,STEFANO NAPOLITANO,258,49.6124031007752,52.58620689655172,26.0,23.076923076923077,R,M,ITA,1995.0,185.7058823529412,97.15480769230768,10.86,69.18199112238428,5.05,51.0,12.69,7.08,69.8
3422,STEFANO TRAVAGLIA,268,58.582089552238806,61.80904522613066,69.0,49.275362318840585,R,M,ITA,1991.0,185.0,104.45862741722615,17.41,74.52291778134474,6.67,51.07,9.54,6.09,69.1
3423,STEFANOS TSITSIPAS,378,67.1957671957672,64.57564575645756,107.0,73.83177570093457,R,M,GRE,1998.0,193.0,108.64608204216408,14.31,75.83928254202908,4.74,54.38,9.16,5.17,70.24
3424,STEFFI CARRUTHERS,62,48.38709677419355,48.38709677419355,0.0,0.0,R,F,SAM,1993.0,172.13786827469158,62.342708333333334,2.39,51.73514160351017,16.07,36.87,0.67,3.13,14.96
3427,STEPHANE ROBERT,194,46.90721649484536,47.87234042553192,6.0,16.666666666666664,R,M,FRA,1980.0,185.0,86.79360930331805,12.36,70.9898192235405,10.01,46.61,12.06,7.04,68.07
3431,STEPHANIE MARIEL PETIT,76,63.1578947368421,63.1578947368421,0.0,0.0,R,F,ARG,1996.0,170.0,60.09375,5.23,34.87391107325734,1.74,20.6,1.91,5.27,25.12
3432,STEPHANIE NEMTSOVA,53,41.509433962264154,41.509433962264154,0.0,0.0,R,F,USA,1998.0,173.1818181818182,59.75806451612903,0.0,7.663782447466007,8.94,9.24,1.48,2.34,18.29
3433,STEPHANIE VOGT,25,32.0,32.0,0.0,0.0,R,F,LIE,1990.0,172.13786827469158,79.87132352941177,3.5,54.109589041095894,4.41,35.93,3.28,7.34,51.46
3434,STEPHANIE WAGNER,136,57.35294117647059,57.42574257425742,35.0,57.14285714285714,R,F,GER,1994.0,176.5,64.23894783377541,1.43,65.77250924119568,9.47,51.62,2.45,6.52,43.15
3435,STEVE DARCIS,169,62.721893491124256,63.030303030303024,4.0,50.0,R,M,BEL,1984.0,178.0,98.07988918837975,8.53,70.238232986759,3.91,51.99,12.96,6.24,69.22
3436,STEVE JOHNSON,271,53.874538745387454,53.24074074074075,55.0,56.36363636363636,R,M,USA,1990.0,188.0,103.88909589041096,16.83,75.01185021330384,6.38,52.85,15.14,6.22,73.64
3437,STEVEN DE WAARD,29,34.48275862068966,34.48275862068966,0.0,0.0,R,M,AUS,1991.0,187.07692307692307,74.72631578947369,8.75,67.83876500857633,9.43,49.26,6.8,8.01,71.06
3438,STEVEN DIEZ,265,49.056603773584904,50.98039215686274,61.0,42.62295081967213,R,M,CAN,1991.0,188.57142857142856,96.01324786324787,3.71,65.03078276165347,5.88,48.96,11.72,6.84,67.01
3439,STORM SANDERS,119,55.46218487394958,50.74626865671642,52.0,61.53846153846154,L,F,AUS,1994.0,170.85714285714286,74.43682104059462,4.83,56.796382315316166,5.47,45.55,4.89,7.89,54.94
3440,STRONG KIRCHHEIMER,54,38.88888888888889,38.46153846153847,15.0,40.0,U,M,USA,1995.0,187.53125,105.75108225108224,12.44,69.23226166449277,5.9,52.97,14.8,7.88,72.91
3441,SU JEONG JANG,269,57.249070631970255,55.27426160337553,32.0,71.875,R,F,KOR,1995.0,172.13786827469158,69.86578204404292,2.27,56.447529603814026,8.4,41.45,2.72,6.8,47.02
3442,SU WEI HSIEH,260,55.00000000000001,57.333333333333336,35.0,40.0,R,F,TPE,1986.0,169.0,89.44327894327894,1.95,60.306421561635915,6.59,46.85,6.23,8.25,60.92
3446,SUMIT NAGAL,210,53.80952380952381,57.71812080536913,61.0,44.26229508196721,R,M,IND,1997.0,183.8,98.55054283368307,3.19,63.19437468608739,5.96,48.63,7.99,7.56,64.91
3447,SUNAM JEONG,121,65.28925619834712,65.28925619834712,0.0,0.0,U,F,KOR,1996.0,172.13786827469158,62.85277275467149,0.07,55.4787991718257,1.55,43.05,1.96,4.74,32.69
3448,SUNG HEE HAN,54,55.55555555555556,55.55555555555556,0.0,0.0,R,F,KOR,1991.0,172.13786827469158,60.66666666666667,0.0,23.205652658981034,3.57,11.71,1.09,3.81,27.61
3451,SURAJ R PRABODH,13,15.384615384615385,16.666666666666664,1.0,0.0,R,M,IND,1995.0,183.8,90.3409090909091,5.25,58.82352941176471,4.83,44.33,17.58,8.28,74.75
3452,SUSAN BANDECCHI,241,58.09128630705395,55.02958579881657,72.0,65.27777777777779,U,F,SUI,1998.0,171.33333333333334,61.51403818953324,1.85,64.29756648989355,8.84,45.61,2.09,5.45,34.85
3454,SUSANNE CELIK,113,58.4070796460177,57.54716981132076,7.0,71.42857142857143,R,F,SWE,1994.0,173.5,63.93488072211477,1.96,36.837692823608315,3.49,19.7,1.86,4.77,32.62
3457,SUZY LARKIN,82,47.5609756097561,47.5609756097561,0.0,0.0,R,F,GBR,1992.0,177.71428571428572,60.3953488372093,1.22,27.66382602525921,7.32,25.99,0.99,2.26,18.43
