,name,num_matches,ratio,ratio_2016-2019,num_matches_2020-2021,ratio_2020-2021,hand,gender,ioc,birth,ht,minutes,perc_ace,_1stwon_1stIn,perc_df,perc_2ndwon,perc_v_ace,perc_v_df,perc_v_1stwon
2149,LINA QOSTAL,29,44.827586206896555,30.0,19.0,52.63157894736842,R,F,MAR,1997.0,172.13786827469158,59.96875,0.09,16.695652173913047,11.04,24.43,0.33,0.67,7.03
2152,LINDA FRUHVIRTOVA,43,62.7906976744186,50.0,41.0,63.41463414634146,R,F,CZE,2005.0,175.78571428571428,70.54398148148148,4.99,71.8840579710145,15.65,50.58,4.59,7.71,47.64
2153,LINDA NOSKOVA,52,71.15384615384616,58.333333333333336,40.0,75.0,R,F,CZE,2004.0,175.78571428571428,61.233333333333334,1.43,10.448473282442748,1.67,12.64,2.05,4.74,31.99
2158,LING ZHANG,168,49.404761904761905,50.31055900621118,7.0,28.57142857142857,R,F,HKG,1989.0,172.13786827469158,62.78228206945429,2.38,47.67920900851414,5.78,41.18,1.97,5.05,34.73
2166,LISA PIGATO,85,62.35294117647059,70.58823529411765,51.0,56.86274509803921,U,F,ITA,2003.0,166.83333333333334,63.03714622641509,1.53,71.68047557224388,8.13,73.91,1.66,3.96,21.99
2169,LISA WHYBOURN,20,45.0,45.0,0.0,0.0,R,F,GBR,1991.0,177.71428571428572,60.72727272727273,0.0,16.93840579710145,6.97,10.78,3.6,5.58,33.72
2170,LISA ZAAR,23,52.17391304347826,53.84615384615385,10.0,50.0,U,F,SWE,2000.0,173.5,61.04545454545455,0.0,16.403508771929825,3.86,19.97,0.27,0.73,4.81
2175,LIZETTE CABRERA,239,49.7907949790795,52.17391304347826,32.0,34.375,R,F,AUS,1997.0,170.85714285714286,73.38483893557424,3.27,57.22820985370848,8.6,43.09,3.84,8.02,53.39
2176,LJUBOMIR CELEBIC,16,43.75,43.75,0.0,0.0,U,M,MNE,1991.0,185.6747825006256,88.57142857142857,8.93,69.31659693165969,6.28,57.73,15.77,8.47,73.72
2177,LLOYD GLASSPOOL,129,48.837209302325576,49.6,4.0,25.0,U,M,GBR,1994.0,183.42857142857144,82.01443001443002,18.07,73.56221680027885,7.32,50.39,11.92,7.69,73.5
2178,LLOYD HARRIS,274,58.3941605839416,58.03108808290155,81.0,59.25925925925925,R,M,RSA,1997.0,193.0,94.27171052631579,20.35,74.46049600162911,5.57,49.47,9.71,6.0,70.74
2179,LOIS BOISSON,45,53.333333333333336,54.54545454545454,34.0,52.94117647058824,R,F,FRA,2003.0,173.36363636363637,63.125,5.14,68.43515541264738,14.31,64.61,1.48,3.53,23.68
2182,LORENZO FRIGERIO,29,34.48275862068966,34.48275862068966,0.0,0.0,R,M,ITA,1989.0,185.7058823529412,80.07368421052632,12.52,70.13487475915221,10.98,47.62,10.62,7.56,70.01
2183,LORENZO GIUSTINO,286,44.05594405594406,46.116504854368934,80.0,38.75,R,M,ITA,1991.0,185.7058823529412,104.92172619047619,9.55,67.28466910542068,8.21,48.27,8.48,6.12,67.99
2184,LORENZO MUSETTI,129,58.91472868217055,48.57142857142857,94.0,62.76595744680851,R,M,ITA,2002.0,185.0,95.98560079443894,6.28,66.40730717185386,4.55,51.6,6.82,6.27,66.17
2185,LORENZO SONEGO,317,56.15141955835961,56.85483870967742,69.0,53.62318840579711,R,M,ITA,1995.0,191.0,110.0898068062404,11.64,72.21049077739336,4.51,51.17,5.78,6.56,69.42
2187,LOU ADLER,116,52.58620689655172,54.285714285714285,11.0,36.36363636363637,U,F,FRA,1996.0,173.36363636363637,59.90909090909091,1.0,14.056224899598394,2.01,7.45,1.16,2.3,17.14
2188,LOU BROULEAU,208,56.730769230769226,58.82352941176471,21.0,38.095238095238095,R,F,FRA,1995.0,173.36363636363637,60.05555555555556,0.01,17.915138816134103,2.83,10.14,1.89,4.86,28.82
2189,LOUDMILLA BENCHEIKH,66,43.93939393939394,45.09803921568628,15.0,40.0,U,F,FRA,2001.0,173.36363636363637,60.17567567567568,1.36,20.426941479573056,4.09,22.17,3.05,4.74,33.4
2190,LOUIS WESSELS,35,25.71428571428571,24.242424242424242,2.0,50.0,R,M,GER,1998.0,187.44,89.97008547008548,10.65,64.93967352732435,9.23,45.2,11.39,6.22,72.88
2191,LOUISA CHIRICO,179,49.162011173184354,50.588235294117645,9.0,22.22222222222222,R,F,USA,1996.0,173.1818181818182,72.27185314685315,4.96,55.10747181775355,7.97,49.2,4.62,7.55,56.97
2193,LOUISE KWONG,45,44.44444444444444,45.16129032258064,14.0,42.857142857142854,U,F,CAN,1995.0,172.75,59.8,0.0,10.13317892298784,15.92,15.38,0.85,2.27,13.27
2195,LOURDES DOMINGUEZ LINO,30,36.666666666666664,36.666666666666664,0.0,0.0,R,F,ESP,1981.0,163.0,81.98086124401914,1.63,47.346072186836516,5.31,36.47,3.5,7.41,53.43
2197,LUCA GIACOMINI,17,47.05882352941176,47.05882352941176,0.0,0.0,U,M,ITA,1998.0,185.7058823529412,104.13194444444444,1.54,61.496149614961496,5.17,44.69,8.09,6.9,66.86
2198,LUCA MARGAROLI,85,40.0,40.0,0.0,0.0,R,M,SUI,1992.0,182.83333333333331,82.31372549019608,13.12,68.8300835654596,6.85,49.0,9.34,8.15,71.56
2200,LUCA NARDI,20,25.0,0.0,20.0,25.0,R,M,ITA,2003.0,185.7058823529412,83.1,6.24,68.25396825396825,6.01,49.91,10.48,5.7,72.29
2201,LUCA VANNI,232,50.0,50.5,32.0,46.875,R,M,ITA,1985.0,185.7058823529412,97.5344827586207,21.12,74.61477319117411,6.13,47.89,10.92,6.36,71.47
2202,LUCAS CATARINA,47,34.04255319148936,30.0,17.0,41.17647058823529,R,M,MON,1997.0,185.0,91.29939516129032,6.25,63.16964285714286,8.37,50.95,10.01,7.56,68.9
2203,LUCAS GERCH,33,54.54545454545454,52.63157894736842,14.0,57.14285714285714,U,M,GER,1995.0,187.44,94.87222222222222,9.94,70.18779342723005,11.58,48.7,3.02,6.04,63.98
2204,LUCAS GOMEZ,77,32.467532467532465,33.33333333333333,2.0,0.0,U,M,MEX,1995.0,183.33333333333331,86.08615384615385,5.07,65.39162112932605,7.95,46.96,19.19,8.43,72.44
2205,LUCAS MIEDLER,193,48.704663212435236,51.006711409395976,44.0,40.909090909090914,R,M,AUT,1996.0,185.2,93.55539436922416,8.54,68.71396634898224,3.98,49.79,12.37,7.1,69.98
2206,LUCAS POUILLE,247,56.68016194331984,59.3607305936073,28.0,35.714285714285715,R,M,FRA,1994.0,185.0,109.91445260347129,16.35,74.09574029826152,7.9,51.22,13.58,5.75,72.35
2207,LUCAS RENARD,23,43.47826086956522,43.47826086956522,0.0,0.0,R,M,SWE,1992.0,185.33333333333331,92.59230769230768,9.09,63.74331550802139,12.83,44.97,5.39,6.84,66.32
2208,LUCIA BRONZETTI,253,59.683794466403164,56.32183908045977,79.0,67.08860759493672,R,F,ITA,1998.0,166.83333333333334,61.51321256979613,7.5,54.22785177494342,6.11,51.9,2.47,5.7,36.66
2215,LUCIE HAVLICKOVA,20,50.0,50.0,18.0,50.0,R,F,CZE,2005.0,175.78571428571428,63.65,1.2,37.13289984713231,14.35,32.26,0.62,2.72,13.09
2216,LUCIE HRADECKA,134,47.01492537313433,47.96747967479675,11.0,36.36363636363637,R,F,CZE,1985.0,177.0,77.35792532975631,11.42,64.65383464322176,13.01,48.8,4.28,7.86,56.6
2219,LUCIE SAFAROVA,112,55.35714285714286,55.35714285714286,0.0,0.0,L,F,CZE,1987.0,177.0,98.92290322580645,11.06,70.17612524461839,8.2,47.47,9.7,9.03,67.32
2221,LUCREZIA STEFANINI,266,56.015037593984964,54.04040404040404,68.0,61.76470588235294,U,F,ITA,1998.0,166.83333333333334,62.16681007285034,0.01,72.09207778583068,6.09,40.11,1.94,4.84,33.52
2223,LUDMILLA SAMSONOVA,251,61.75298804780876,61.27167630057804,78.0,62.82051282051282,R,F,RUS,1998.0,180.0,76.00110887096774,10.5,59.20649233543733,8.57,50.59,5.21,6.56,47.7
2224,LUIS DAVID MARTINEZ,70,38.57142857142858,38.80597014925373,3.0,33.33333333333333,U,M,VEN,1989.0,185.6747825006256,90.10163652024117,9.36,66.27666896077082,10.19,46.94,13.81,8.06,68.2
2225,LUIS FARIA,17,23.52941176470588,0.0,12.0,33.33333333333333,R,M,BRA,1999.0,184.53846153846155,103.4423076923077,6.36,62.727272727272734,8.03,41.91,4.95,6.91,66.97
2226,LUIS PATINO,50,16.0,17.391304347826086,4.0,0.0,R,M,MEX,1993.0,183.33333333333331,91.58928571428572,7.08,62.57668711656442,7.46,45.98,11.87,8.32,72.07
2229,LUISA STEFANI,80,51.24999999999999,53.333333333333336,5.0,20.0,U,F,BRA,1997.0,172.13786827469158,64.63789868667918,8.39,67.53161445195833,8.51,68.22,1.79,5.52,37.15
2230,LUKAS KLEIN,111,51.35135135135135,51.11111111111111,66.0,51.515151515151516,R,M,SVK,1998.0,189.28571428571428,91.05458089668616,10.6,70.67409256769733,6.76,50.13,8.43,7.36,68.96
2231,LUKAS LACKO,285,52.28070175438596,56.118143459915615,48.0,33.33333333333333,R,M,SVK,1987.0,185.0,87.98679924990131,16.7,73.63596550795604,5.29,51.58,16.79,6.63,72.58
2232,LUKAS MUGEVICIUS,11,45.45454545454545,45.45454545454545,0.0,0.0,R,M,LTU,1995.0,179.0,81.8,7.49,65.89147286821705,10.85,46.03,7.09,6.18,64.3
2233,LUKAS ROSOL,309,51.45631067961165,52.918287937743195,52.0,44.230769230769226,R,M,CZE,1985.0,196.0,95.14012578616352,10.92,71.5082042976319,6.89,49.6,14.93,6.93,72.37
