,name,ratio,num_matches_2016-2019,ratio_2016-2019,num_matches_2020-2021,ratio_2020-2021,hand,gender,ioc,birth,ht,minutes,perc_ace,serv_won_tot_seve,bpFaced,perc_df,perc_2ndwon,perc_v_ace,perc_v_df,perc_v_1stwon
2623,MIKHAIL YOUZHNY,0.5325443786982249,169.0,0.5325443786982249,0.0,0.0,R,M,RUS,1982.0,183.0,100.12250351617439,7.97,0.6170150095495136,1198.0,6.93,50.85,13.56,6.66,70.66
2624,MIKI JANKOVIC,0.3793103448275862,29.0,0.3793103448275862,0.0,0.0,R,M,SRB,1995.0,183.0,89.79797979797979,10.6,0.6178861788617886,195.0,3.69,48.54,14.36,6.3,74.14
2627,MILANA MASLENKOVA,0.2692307692307692,15.0,0.2,11.0,0.36363636363636365,U,F,UZB,2001.0,172.13786827469158,59.76315789473684,0.0,0.14403032217308906,133.0,9.42,13.24,1.33,1.12,9.89
2630,MILIAAN NIESTEN,0.46153846153846156,50.0,0.48,2.0,0.0,U,M,NED,1988.0,190.25,86.94642857142857,2.17,0.5625701459034792,412.0,6.09,47.55,6.66,7.47,64.57
2631,MILJAN ZEKIC,0.4552238805970149,118.0,0.4491525423728814,16.0,0.5,R,M,SRB,1988.0,183.0,93.99842802604985,9.64,0.6007067137809188,909.0,6.32,47.85,5.42,6.6,68.47
2632,MILOS RAONIC,0.6788617886178862,201.0,0.681592039800995,45.0,0.6666666666666666,R,M,CAN,1990.0,196.0,109.9307208368074,32.01,0.7184082559088143,907.0,7.48,56.05,11.05,5.41,72.29
2633,MILOS SEKULIC,0.5,14.0,0.5,0.0,0.0,R,M,SWE,1990.0,185.33333333333331,82.35714285714286,3.98,0.5763688760806917,98.0,8.65,46.65,10.7,9.12,65.79
2635,MIN KYU SONG,0.35714285714285715,13.0,0.38461538461538464,1.0,0.0,U,M,KOR,1990.0,185.0,76.74444444444444,15.17,0.6552511415525114,70.0,7.78,55.2,12.6,9.8,76.2
2636,MINA HODZIC,0.5057471264367817,44.0,0.45454545454545453,43.0,0.5581395348837209,U,F,GER,2002.0,176.5,60.05813953488372,1.15,0.163244176013805,516.0,9.16,14.75,1.73,3.35,18.29
2641,MIOMIR KECMANOVIC,0.5555555555555556,163.0,0.5828220858895705,62.0,0.4838709677419355,R,M,SRB,1999.0,183.0,96.705,8.67,0.6288172347734972,1464.0,5.18,52.61,14.92,6.99,70.77
2642,MIRA ANTONITSCH,0.5761589403973509,129.0,0.5813953488372093,22.0,0.5454545454545454,U,F,AUT,1999.0,165.0,62.64816810344828,7.68,0.5246896294221973,1946.0,6.14,56.93,1.23,2.44,15.33
2647,MIRIAM BIANCA BULGARU,0.5963302752293578,171.0,0.6257309941520468,47.0,0.48936170212765956,R,F,ROU,1998.0,173.71428571428572,62.17194055944056,4.98,0.5573361771652975,2239.0,18.15,55.27,1.95,4.9,31.35
2649,MIRIAM KOLODZIEJOVA,0.6782608695652174,157.0,0.6751592356687898,73.0,0.684931506849315,R,F,CZE,1997.0,175.78571428571428,61.35724185724186,4.36,0.5148721246211795,1683.0,5.75,58.4,2.47,4.98,31.8
2651,MIRJAM BJORKLUND,0.6170212765957447,143.0,0.6643356643356644,45.0,0.4666666666666667,U,F,SWE,1998.0,173.5,64.17241379310344,3.95,0.5548403949827901,1452.0,3.35,46.12,2.42,5.24,33.08
2652,MIRJANA LUCIC,0.5340909090909091,88.0,0.5340909090909091,0.0,0.0,R,F,CRO,1982.0,180.0,88.4353918007265,7.4,0.5507246376811594,772.0,14.74,41.96,6.64,9.22,60.94
2653,MIRZA BASIC,0.5231316725978647,223.0,0.4977578475336323,58.0,0.6206896551724138,R,M,BIH,1991.0,182.5,90.31612346431109,11.84,0.6363877322642514,1697.0,4.69,51.93,14.88,7.18,71.32
2654,MISA EGUCHI,0.47126436781609193,87.0,0.47126436781609193,0.0,0.0,R,F,JPN,1992.0,163.83333333333334,67.09411452810181,0.37,0.4508169934640523,654.0,3.78,27.66,2.64,6.15,45.5
2656,MISAKI DOI,0.4875444839857651,213.0,0.5070422535211268,68.0,0.4264705882352941,L,F,JPN,1991.0,159.0,88.92145681265207,2.89,0.5447881994010035,2372.0,6.03,45.81,7.46,8.24,60.6
2658,MISCHA ZVEREV,0.47876447876447875,227.0,0.4845814977973568,32.0,0.4375,L,M,GER,1987.0,190.0,94.1478494623656,11.03,0.6346225830596195,1645.0,5.3,50.04,11.02,6.41,69.69
2659,MITCHELL KRUEGER,0.47058823529411764,230.0,0.45217391304347826,59.0,0.5423728813559322,R,M,USA,1994.0,187.53125,102.39419934640523,9.75,0.6135143940039404,2023.0,5.66,50.15,12.11,6.99,70.03
2661,MIYABI INOUE,0.42021276595744683,151.0,0.41721854304635764,37.0,0.43243243243243246,R,F,JPN,1991.0,163.83333333333334,61.7413773080943,3.62,0.6215117057063742,2258.0,15.76,68.21,2.33,5.4,37.82
